Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Qty,Price,Amount,SaleExclGST,GSTP,GST,DiscPer,DiscAmount,BarcodeDiscPer,BarcodeDiscount,NetAmount,PointsEarned,TaxPer,BillNo,BillDate,LoyaltyCard,Customer,Description,BillMonth,Warehouse,RegionName,Location,DepartmentName,BrandName,DesignNo,Rejection,SeasonName,Inventory_status,Offers,Import_type,Attribute5,Class_of_cloth,LocalImport,Color,Sizes,DiscountType,SalesReturnReason,Cobrand Acc
445668,445668,445668,445668,1.0,2437.725566423214,2259.0,2092.0,6.0,125.0,0.0,0.0,40.0,1394.0,2217.0,0.0,6,SDLC-110518-00244,2018-05-11,Yes,Returning_Costumer,No information,2018-05,No,1-KARACHI,TCS DOLMEN CITY ,CAMBRIDGE ,PRINCIPLE SHIRT ,B10388,No,SUMMER 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,WHITE,16,No Discount,No information available,F/S PRINCIPLE CLASSIC YARN DYED
56716,56716,56716,56716,1.0,1995.0,1995.0,1995.0,6.0,95.0,0.0,0.0,0.0,0.0,1995.0,0.0,6,SCMS-280416-00008,2016-04-28,Yes,Returning_Costumer,IQBAL ANWAR FOR SAMPLE (BY HAND NUMAIR),2016-04,Yes,5-WAREHOUSES,CG Main Store  / A-5 2nd floor (CLOSED),CAMBRIDGE ,LUXER,B11075,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,A,Regular,Local,BROWN,16½  ,Group Discount,No information available,F/S LUXER YARN DYED 
169990,169990,169990,169990,1.0,2567.0,2567.0,1797.0,5.0,90.0,0.0,0.0,30.0,770.0,1887.0,0.0,6,SDMT-221216-00222,2016-12-22,Yes,Returning_Costumer,No information,2016-12,No,1-KARACHI,TCS Dolmen Mall - Tariq Road,LICENSE ,LICENSE FULL SLEEVE ,B5561,No,WINTER 2016-2017,1 Year & Above (Discounted),Buy 1 Get 1 free,PAKISTAN ,A,No information,Local,BLUE,X-LAR,No Discount,No information available,F/S LICENSE                  
141917,141917,141917,141917,1.0,2090.0,2090.0,2089.0,5.0,105.0,0.0,0.0,0.0,0.0,2194.0,0.0,6,SSNH-210716-00003,2016-07-21,Yes,Returning_Costumer,No information,2016-07,No,1-KARACHI,SANAULLA & CO (CLOSED),LICENSE ,LICENSE FULL SLEEVE ,B5470,No,SUMMER 2016,1 Year & Above (Discounted),Buy 1 Get 1 free,PAKISTAN ,A,No information,Local,RED,MED  ,No Discount,No information available,F/S LICENSE                  
204658,204658,204658,204658,1.0,2186.0,2186.0,1530.0,5.0,77.0,0.0,0.0,30.0,656.0,1607.0,0.0,6,SALS-090217-00052,2017-02-09,Yes,Returning_Costumer,No information,2017-02,No,3-NORTH ,AL SAEED SUPER STORE ,CAMBRIDGE ,CAMBRIDGE CASUAL ,B6557,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,B,Regular,Local,RED,MEDIM,No Discount,No information available,F/S CAMBRIDGE CASUAL
384556,384556,384556,384556,1.0,2354.0,2354.0,1648.0,6.0,99.0,0.0,0.0,30.0,706.0,1747.0,0.0,6,SFRS-231217-00019,2017-12-23,Yes,NoN_Returning_Costumer,No information,2017-12,No,2-LAHORE,TCS FORTRESS SQUARE ,LICENSE ,LICENSE FULL SLEEVE ,B5659,No,WINTER 2017 - 2018,Cut Range Items ,Slim Fit,PAKISTAN ,No information,No information,Local,RED,X-LAR,No Discount,No information available,F/S DENIM 
503926,503926,503926,503926,1.0,2437.725566423214,2259.0,1664.6489680782015,6.0,99.86487176196346,0.0,0.0,30.0,1046.0,2586.0,0.0,6,SHBK-280118-00036,2018-01-28,Yes,Returning_Costumer,No information,2018-01,No,1-KARACHI,TCS HYDERI BLOCK-H ,CAMBRIDGE ,PRINCIPLE SHIRT ,B10484,No,EID FESTIVAL 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Premium,Local,BLUE,15¾,No Discount,No information available,F/S PRINCIPLE POPLIN LUXE MILANO
552498,552498,552498,552498,1.0,2448.0,2259.0,1663.0,6.0,95.0,0.0,0.0,17.706989592318553,484.0,1849.731243623915,0.0,6,SRWT-080118-00011,2018-01-08,Yes,Returning_Costumer,No information,2018-01,No,2-LAHORE,RAJA SAHIB - WAPDA TOWN (CLOSED),LICENSE ,LICENSE FULL SLEEVE ,B5622,No,SUMMER 2017,1 Year & Above (Discounted),Buy 1 Get 1 free,PAKISTAN ,No information,No information,Local,BLUE,X-LAR,No Discount,No information available,PRINTED F/S SHIRTS
99399,99399,99399,99399,1.0,1805.0,1805.0,1805.0,5.0,90.0,0.0,0.0,0.0,0.0,1895.0,0.0,6,SATR-200816-00057,2016-08-20,Yes,Returning_Costumer,No information,2016-08,No,1-KARACHI,TCS Atrium Mall,CAMBRIDGE ,LUXER,B-316,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,RED,15,No Discount,No information available,F/S LUXER PLAIN 
217786,217786,217786,217786,1.0,2090.0,2090.0,1463.0,5.0,73.0,0.0,0.0,30.0,627.0,1536.0,0.0,6,SDMH-090317-00028,2017-03-09,Yes,Returning_Costumer,No information,2017-03,No,1-KARACHI,TCS Dolmen Mall -Hyderi,LICENSE ,LICENSE FULL SLEEVE ,B5526,No,SUMMER 2016,Winter Stock,Buy 1 Get 1 free,PAKISTAN ,A,No information,Local,BLACK,X-LAR,No Discount,No information available,CHEMBREY F/S 
