BillNo,BillDate,LoyaltyCard,Customer,Description,BillMonth,Warehouse,RegionName,Location,DepartmentName,BrandName,DesignNo,Rejection,SeasonName,Inventory_status,Import_type,Attribute5,LocalImport,Color,Sizes,DiscountType,SalesReturnReason,Cobrand Acc,"('Buy 1 Get 1 free',)","('Comfort fit',)","('Modern fit',)","('Regular Fit',)","('Slim Fit',)","('0',)","('No information',)","('Premium',)","('Regular',)",Qty,Price,Amount,SaleExclGST,GSTP,GST,DiscPer,DiscAmount,BarcodeDiscPer,BarcodeDiscount,NetAmount,PointsEarned,TaxPer
36803,111,1,1,2211,21,0,0,29,1,9,2749,0,28,0,2,1,1,343,12,6,4,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,-0.3815537559655556,-0.0054170808470103,-0.2965248462785956,-0.0406393174800324,-0.2582743036461795,-0.1193862686191996,-0.0918651950292086,1.0719391549483068,0.8236851513737203,-0.2988648785043289,-0.1788739568600897,-0.3687136648542101
99488,237,1,1,2211,22,0,0,34,1,9,2877,0,20,0,2,1,1,213,12,6,4,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,-0.7774818471760804,-0.1799162114042085,-0.5368999593428178,-0.0406393174800324,-0.4409454688771319,-0.1193862686191996,-0.0918651950292086,1.552780071157161,0.9633997163561178,-0.5391042436053914,-0.1788739568600897,-0.3687136648542101
214136,85,1,1,2211,12,0,3,10,1,9,2749,0,28,0,2,1,1,343,14,6,4,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,-0.3521739329428665,0.007531617886916,-0.1414224688544746,-0.4781873216520712,-0.2665775384294047,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.4324843694230077,-0.1534568417326331,-0.1788739568600897,-0.3687136648542101
190032,132,1,1,2211,21,0,1,38,0,8,1761,0,20,0,2,1,1,197,7,6,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.1171353487613536,0.111121207758327,-0.0621926829841444,-0.0406393174800324,-0.0839063731984522,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.525627412744606,-0.0649476019585574,-0.1788739568600897,-0.3687136648542101
150904,191,1,1,2211,10,0,0,35,0,11,1076,0,28,0,2,1,1,210,4,6,4,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.6193904185301817,-0.1102398801216523,0.1707966025836909,-0.4781873216520712,-0.0756031384152271,-0.1193862686191996,-0.0918651950292086,-0.8514245098871098,-0.7895523589563611,0.1550610797655734,-0.1788739568600897,-0.3687136648542101
327709,928,1,1,2211,31,0,0,52,0,8,2165,0,21,8,2,1,1,197,7,6,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.2080728962125342,0.0710419021533168,-0.3999264312280096,1.272004695036084,-0.0506934340655518,-0.1193862686191996,-0.0918651950292086,1.552780071157161,1.3415604722418066,-0.3804198208675843,-0.1788739568600897,-0.3687136648542101
399935,968,1,1,2211,7,0,2,24,0,8,5079,0,27,0,2,1,1,197,7,6,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.0863564865471078,0.1246865111938689,-0.3710545601057707,-0.4781873216520712,-0.4160357645274566,-0.1193862686191996,-0.0918651950292086,1.552780071157161,1.423526350364813,-0.3810520297231135,-0.1788739568600897,-0.3687136648542101
150752,1012,1,1,2211,32,0,0,35,0,8,1799,0,29,0,2,1,1,197,8,6,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.1171353487613536,0.111121207758327,-0.3784403876021573,-0.0406393174800324,-0.3163969471287553,-0.1193862686191996,-0.0918651950292086,1.552780071157161,1.4030348808340614,-0.3804198208675843,-0.1788739568600897,2.7121316493528957
118453,105,1,1,2146,21,0,0,36,0,11,1113,0,20,0,2,1,1,378,5,6,4,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.1067462540168718,-0.5130634399718783,-2.617354596890444,-2.5592738156261614,-0.0406393174800324,-1.935527729857652,-0.1193862686191996,-0.0918651950292086,-0.8514245098871098,-0.7895523589563611,-2.5571149104543167,-0.1788739568600897,-0.3687136648542101
246096,1026,1,1,2211,8,0,1,17,0,8,5537,0,19,0,2,1,1,197,5,6,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.0863564865471078,0.1246865111938689,-0.0521211000345262,-0.4781873216520712,-0.216758129730054,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.5386674388096298,-0.0655798108140865,-0.1788739568600897,-0.3687136648542101
395324,1038,1,1,2211,20,0,2,24,0,11,29,0,20,0,2,1,1,16,8,6,4,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.7774818471760804,-0.1799162114042085,0.0949240110299001,-0.0406393174800324,0.0323389137666992,-0.1193862686191996,-0.0918651950292086,-0.8514245098871098,-0.7895523589563611,0.0918401942126622,-0.1788739568600897,-0.3687136648542101
231100,903,1,1,2211,18,0,0,43,0,11,48,0,19,0,2,0,1,321,5,6,4,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.8852078649259404,-0.2273947734286052,-0.3206966453576794,-0.4781873216520712,-0.3828228253945562,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.2201182306497637,-0.3311075301363136,-0.1788739568600897,-0.3687136648542101
62997,447,1,1,2211,1,0,2,32,1,9,2605,0,27,0,2,1,1,19,14,6,4,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,-1.0181165881238197,-0.2859722200820817,-0.5946437015872957,-0.4781873216520712,-0.5488875210590584,-0.1193862686191996,-0.0918651950292086,1.552780071157161,0.8031936818429687,-0.6016929203027735,-0.1788739568600897,-0.3687136648542101
9355,151,1,0,1132,33,0,2,3,0,14,796,0,29,3,2,1,1,171,5,4,4,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,1.4665770160807452,0.8091177299871201,0.9375797844812932,-0.0406393174800324,0.6550815225085824,3.004782112844834,3.5694273898261644,-0.8514245098871098,-0.7895523589563611,0.9326779720663811,-0.1788739568600897,2.7121316493528957
168604,415,1,1,2211,25,0,0,35,0,14,527,0,10,0,2,1,1,349,6,6,4,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1643423230142603,1.4665770160807452,0.8091177299871201,0.4695868967556988,-0.0406393174800324,0.3063456616131279,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,1.1590001073314742,0.4654756278303675,-0.1788739568600897,-0.3687136648542101
259353,1049,1,1,2211,20,0,2,44,0,8,1755,0,20,0,2,1,1,197,7,6,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.1171353487613536,0.111121207758327,-0.0621926829841444,-0.0406393174800324,-0.0839063731984522,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.525627412744606,-0.0649476019585574,-0.1788739568600897,-0.3687136648542101
113756,90,1,1,2211,0,0,0,36,0,11,48,0,19,0,2,0,1,318,1,6,4,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.8852078649259404,-0.2273947734286052,0.0432232185551931,-0.4781873216520712,-0.1586354862474782,-0.1193862686191996,-0.0918651950292086,-0.8514245098871098,-0.7895523589563611,0.028619308659751,-0.1788739568600897,-0.3687136648542101
70164,172,1,1,2211,33,0,0,34,0,14,910,0,21,1,2,1,1,318,7,6,4,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1643423230142603,1.86250510729127,0.9836168605443184,1.3619291460918754,-0.0406393174800324,0.9706044442711366,-0.1193862686191996,-0.0918651950292086,-0.8514245098871098,-0.7895523589563611,1.3562579052708863,-0.1788739568600897,2.7121316493528957
218226,17,1,1,2211,24,0,3,10,0,8,1823,0,29,0,2,1,1,197,10,6,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.1171353487613536,0.111121207758327,-0.0621926829841444,-0.0406393174800324,-0.0839063731984522,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.525627412744606,-0.0649476019585574,2.640258341215525,-0.3687136648542101
145386,725,1,1,2211,28,0,0,35,1,9,3081,0,21,3,2,1,1,31,12,6,4,9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,-0.2500440719592329,0.0525437611048505,-0.2589242699333542,-0.0406393174800324,-0.2333645992965042,-0.1193862686191996,-0.0918651950292086,1.0719391549483068,0.894473864298135,-0.2615645560281113,-0.1788739568600897,-0.3687136648542101
431317,1001,1,1,2211,7,0,1,60,0,11,1012,0,27,0,2,0,1,258,7,6,4,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.7522991417280611,-0.1688173267751288,-0.2757102415160513,-0.4781873216520712,-0.3579131210448809,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.2722783349098587,-0.2868529102492758,-0.1788739568600897,-0.3687136648542101
307650,1012,1,1,2211,32,0,0,42,0,4,2185,0,11,8,2,1,1,197,10,6,4,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.7774818471760804,-0.1799162114042085,-0.2844389467390538,-0.0406393174800324,-0.2499710688629544,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.2629640305776989,-0.2868529102492758,-0.1788739568600897,2.7121316493528957
202403,437,1,1,2211,25,0,1,37,0,14,259,0,28,0,2,1,1,343,7,6,4,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1643423230142603,1.3350673320744226,0.7511568880352592,-0.0299636175453661,-0.0406393174800324,-0.0589966688487769,-0.1193862686191996,-0.0918651950292086,1.552780071157161,2.369859670512251,-0.0327049503265727,-0.1788739568600897,-0.3687136648542101
408828,605,1,1,2211,27,0,1,65,1,9,3026,0,21,8,2,1,1,197,19,6,4,29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,-0.2500440719592329,0.0525437611048505,-0.1071790868257726,-0.0406393174800324,-0.1171193123313527,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.4734673084845109,-0.1098344307011244,-0.1788739568600897,-0.3687136648542101
